Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;Industry;Summary Quote
AFSD;Aflac Incorporated;25.85;0;n/a;n/a;Finance;Accident &Health Insurance;http://www.nasdaq.com/symbol/afsd
AGFS;AgroFresh Solutions, Inc.;jun.29;313876000.55;n/a;2014;Finance;Business Services;http://www.nasdaq.com/symbol/agfs
AGFSW;AgroFresh Solutions, Inc.;0.9;0;n/a;2014;Finance;Business Services;http://www.nasdaq.com/symbol/agfsw
ALEX;Alexander & Baldwin Holdings, Inc.;36.78;1800408070.08;n/a;n/a;Finance;Real Estate;http://www.nasdaq.com/symbol/alex
Y;Alleghany Corporation;487.39;7527683962.32;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/y
ABTX;Allegiance Bancshares, Inc.;18.85;242123575.2;n/a;2015;Finance;Major Banks;http://www.nasdaq.com/symbol/abtx
AB;AllianceBernstein Holding L.P.;23.82;2380677632.7;n/a;n/a;Finance;Investment Managers;http://www.nasdaq.com/symbol/ab
NFJ;AllianzGI NFJ Dividend, Interest & Premium Strategy Fund;12.jun;1139963359.5;n/a;2005;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/nfj
AWH;Allied World Assurance Company Holdings, AG;35.13;3178353200.85;n/a;2006;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/awh
ALL;Allstate Corporation (The);66.79;25266685586.12;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/all
ALLY;Ally Financial Inc.;17.feb;8308763494;n/a;2014;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/ally
AAMC;Altisource Asset Management Corp;20.dec;39647908.64;n/a;n/a;Finance;Real Estate;http://www.nasdaq.com/symbol/aamc
RESI;Altisource Residential Corporation;nov.45;636402507.25;n/a;n/a;Finance;Real Estate;http://www.nasdaq.com/symbol/resi
AMBC;Ambac Financial Group, Inc.;15.15;682461989.4;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/ambc
AMBCW;Ambac Financial Group, Inc.;6.avg;0;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/ambcw
ATAX;America First Multifamily Investors, L.P.;maj.13;309097520.64;n/a;n/a;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/atax
AEL;American Equity Investment Life Holding Company;13.69;1120717407.05;n/a;2003;Finance;Life Insurance;http://www.nasdaq.com/symbol/ael
AXP;American Express Company;59.8;57649918029.6;n/a;n/a;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/axp
AFA;American Financial Group, Inc.;25.jun;0;n/a;2012;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afa
AFG;American Financial Group, Inc.;67.3;5827621948.4;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afg
AFGE;American Financial Group, Inc.;26.49;0;n/a;2014;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afge
AFGH;American Financial Group, Inc.;25.56;0;n/a;2015;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afgh
AFW;American Financial Group, Inc.;26.17;0;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afw
AMIC;American Independence Corp.;21.mar;170092848.15;n/a;n/a;Finance;Accident &Health Insurance;http://www.nasdaq.com/symbol/amic
AIG;American International Group, Inc.;53.41;61392031352.96;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/aig
AMNB;American National Bankshares, Inc.;25;215268025;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/amnb
ANAT;American National Insurance Company;113.04;3040171801.2;n/a;n/a;Finance;Life Insurance;http://www.nasdaq.com/symbol/anat
ARL;American Realty Investors, Inc.;maj.21;80829815.6;n/a;n/a;Finance;Real Estate;http://www.nasdaq.com/symbol/arl
AMRB;American River Bankshares;sep.91;69313513;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/amrb
AMP;AMERIPRISE FINANCIAL SERVICES, INC.;92.55;15638247910.2;n/a;n/a;Finance;Investment Managers;http://www.nasdaq.com/symbol/amp
ABCB;Ameris Bancorp;28.62;921889838.7;n/a;1994;Finance;Major Banks;http://www.nasdaq.com/symbol/abcb
AMSF;AMERISAFE, Inc.;50.55;967047887.1;n/a;2005;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/amsf
ASRV;AmeriServ Financial Inc.;feb.96;55857600.56;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/asrv
ASRVP;AmeriServ Financial Inc.;28.71;0;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/asrvp
ATLO;Ames National Corporation;24.23;225603421.99;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/atlo
AFSI;AmTrust Financial Services, Inc.;24.52;4309393506.36;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afsi
AFSS;AmTrust Financial Services, Inc.;24.maj;0;n/a;2015;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afss
AFST;AmTrust Financial Services, Inc.;24.85;0;n/a;2015;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afst
ANCB;Anchor Bancorp;24.15;60890216.1;n/a;2011;Finance;Banks;http://www.nasdaq.com/symbol/ancb
ABCW;Anchor BanCorp Wisconsin Inc.;44.33;425452387.36;n/a;2014;Finance;Banks;http://www.nasdaq.com/symbol/abcw
ANDA;Andina Acquisition Corp. II;sep.74;51719400;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/anda
ANDAR;Andina Acquisition Corp. II;0.2525;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/andar
ANDAU;Andina Acquisition Corp. II;10.jun;16599010.06;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/andau
ANDAW;Andina Acquisition Corp. II;0.1101;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/andaw
AON;Aon plc;101.47;27405190200.47;n/a;n/a;Finance;Specialty Insurers;http://www.nasdaq.com/symbol/aon
APO;Apollo Global Management, LLC;16.jan;6434965449.5;n/a;2011;Finance;Investment Managers;http://www.nasdaq.com/symbol/apo
AUMA;AR Capital Acquisition Corp.;sep.82;294600000;n/a;2014;Finance;Business Services;http://www.nasdaq.com/symbol/auma
AUMAU;AR Capital Acquisition Corp.;9.sep;0;n/a;2014;Finance;Business Services;http://www.nasdaq.com/symbol/aumau
AUMAW;AR Capital Acquisition Corp.;0.0999;0;n/a;2014;Finance;Business Services;http://www.nasdaq.com/symbol/aumaw
ACGL;Arch Capital Group Ltd.;69.5;8484433301.5;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/acgl
ARES;Ares Management L.P.;14.59;3109297514.5;n/a;2014;Finance;Investment Managers;http://www.nasdaq.com/symbol/ares
AGII;Argo Group International Holdings, Ltd.;55.45;1531049745.65;n/a;n/a;Finance;Specialty Insurers;http://www.nasdaq.com/symbol/agii
AGIIL;Argo Group International Holdings, Ltd.;25.57;0;n/a;n/a;Finance;Specialty Insurers;http://www.nasdaq.com/symbol/agiil
AI;Arlington Asset Investment Corp;dec.19;280090056.65;n/a;n/a;Finance;Finance/Investors Services;http://www.nasdaq.com/symbol/ai
AIC;Arlington Asset Investment Corp;19.nov;0;n/a;2015;Finance;Finance/Investors Services;http://www.nasdaq.com/symbol/aic
AIW;Arlington Asset Investment Corp;20.jul;0;n/a;n/a;Finance;Finance/Investors Services;http://www.nasdaq.com/symbol/aiw
AHH;Armada Hoffler Properties, Inc.;nov.42;343472019.78;n/a;2013;Finance;Real Estate;http://www.nasdaq.com/symbol/ahh
ARWA;Arowana Inc.;99.801;108373905.9;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/arwa
ARWAR;Arowana Inc.;0.2497;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/arwar
ARWAU;Arowana Inc.;okt.25;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/arwau
ARWAW;Arowana Inc.;0.0811;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/arwaw
AROW;Arrow Financial Corporation;26.nov;338182646.97;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/arow
AJG;Arthur J. Gallagher & Co.;43.8;7753782600;n/a;n/a;Finance;Specialty Insurers;http://www.nasdaq.com/symbol/ajg
APAM;Artisan Partners Asset Management Inc.;30.58;2277540328.58;n/a;2013;Finance;Investment Managers;http://www.nasdaq.com/symbol/apam
ASBB;ASB Bancorp, Inc.;24.76;98680361;n/a;2011;Finance;Savings Institutions;http://www.nasdaq.com/symbol/asbb
AHL;Aspen Insurance Holdings Limited;45.64;2783309623.08;n/a;2003;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/ahl
ASB;Associated Banc-Corp;16.jun;2485116695;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/asb
AC;Associated Capital Group, Inc.;29.99;738812796.95;n/a;2015;Finance;Investment Bankers/Brokers/Service;http://www.nasdaq.com/symbol/ac
AIZ;Assurant, Inc.;78.62;5092795807.34;n/a;2004;Finance;Accident &Health Insurance;http://www.nasdaq.com/symbol/aiz
AGO;Assured Guaranty Ltd.;23.87;3244551734.27;n/a;2004;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/ago
ASFI;Asta Funding, Inc.;100.297;1.213.300.531.869;n/a;1995;Finance;Finance Companies;http://www.nasdaq.com/symbol/asfi
AF;Astoria Financial Corporation;14.95;1516004107.15;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/af
AAPC;Atlantic Alliance Partnership Corp.;okt.26;106578961.38;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/aapc
AAME;Atlantic American Corporation;apr.56;92996671.92;n/a;n/a;Finance;Life Insurance;http://www.nasdaq.com/symbol/aame
ACBI;Atlantic Capital Bancshares, Inc.;13.91;341505425.43;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/acbi
ACFC;Atlantic Coast Financial Corporation;6.nov;94760362.71;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/acfc
ATLC;Atlanticus Holdings Corporation;mar.23;49622683.8;n/a;1995;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/atlc
AFH;Atlas Financial Holdings, Inc.;17.44;209686264.8;n/a;2013;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afh
AUBN;Auburn National Bancorporation, Inc.;28;102017384;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/aubn
AVNU;Avenue Financial Holdings, Inc.;19.35;200422462.5;n/a;2015;Finance;Major Banks;http://www.nasdaq.com/symbol/avnu
AV;Aviva plc;dec.32;24938545459.52;n/a;n/a;Finance;Life Insurance;http://www.nasdaq.com/symbol/av
AVV;Aviva plc;26.38;0;n/a;2011;Finance;Life Insurance;http://www.nasdaq.com/symbol/avv
AXS;Axis Capital Holdings Limited;53.91;5116730610.78;n/a;2003;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/axs
BWINA;Baldwin & Lyons, Inc.;23.75;356868687.5;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/bwina
BWINB;Baldwin & Lyons, Inc.;24.maj;361376502.5;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/bwinb
BANC;Banc of California, Inc.;17.27;662875273.5;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/banc
BANF;BancFirst Corporation;57.07;886415748.53;n/a;1993;Finance;Major Banks;http://www.nasdaq.com/symbol/banf
BANFP;BancFirst Corporation;26.jun;26600000;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/banfp
BBVA;Banco Bilbao Viscaya Argentaria S.A.;jun.22;39600750333.96;n/a;n/a;Finance;Commercial Banks;http://www.nasdaq.com/symbol/bbva
BBD;Banco Bradesco Sa;jul.94;40040290757.32;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bbd
BBDO;Banco Bradesco Sa;88.701;447.306.527.766.378;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bbdo
BCH;Banco De Chile;63.95;10245764853.8;n/a;n/a;Finance;Commercial Banks;http://www.nasdaq.com/symbol/bch
BLX;Banco Latinoamericano de Comercio Exterior, S.A.;22.76;886932277.8;n/a;1992;Finance;Commercial Banks;http://www.nasdaq.com/symbol/blx
BSBR;Banco Santander Brasil SA;apr.71;35478206880;n/a;2009;Finance;Commercial Banks;http://www.nasdaq.com/symbol/bsbr
BSAC;Banco Santander Chile;19.66;9262127112.56;n/a;n/a;Finance;Commercial Banks;http://www.nasdaq.com/symbol/bsac
SAN;Banco Santander, S.A.;apr.21;60273024109.05;n/a;n/a;Finance;Commercial Banks;http://www.nasdaq.com/symbol/san
CIB;BanColombia S.A.;34.44;8281330470;n/a;n/a;Finance;Commercial Banks;http://www.nasdaq.com/symbol/cib
BKJ;Bancorp of New Jersey, Inc;113.999;711.381.233.759;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bkj
BXS;BancorpSouth, Inc.;20.69;1949779088.88;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bxs
BKMU;Bank Mutual Corporation;jul.43;338626462.81;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/bkmu
BAC;Bank of America Corporation;dec.97;133923434290.49;n/a;1986;Finance;Major Banks;http://www.nasdaq.com/symbol/bac
BAC^W;Bank of America Corporation;26.avg;0;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bac^w
BAC^Y;Bank of America Corporation;26.38;0;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bac^y
BOCH;Bank of Commerce Holdings (CA);jun.25;84010037.5;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/boch
BOH;Bank of Hawaii Corporation;65.74;2833707579.8;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/boh
BMRC;Bank of Marin Bancorp;49.26;299420161.38;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bmrc
BMO;Bank Of Montreal;61;39240186872;n/a;n/a;Finance;Commercial Banks;http://www.nasdaq.com/symbol/bmo
BK;Bank Of New York Mellon Corporation (The);35.86;38578221744.26;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bk
BNS;Bank of Nova Scotia (The);47.69;57337716090.9;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bns
BKSC;Bank of South Carolina Corp.;16.maj;78911430;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bksc
BOTJ;Bank of the James Financial Group, Inc.;116.226;508.888.102.536;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/botj
OZRK;Bank of the Ozarks;41.91;3801035957.73;n/a;1997;Finance;Major Banks;http://www.nasdaq.com/symbol/ozrk
BFIN;BankFinancial Corporation;nov.66;235532000;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/bfin
BKU;BankUnited, Inc.;33.43;3483118334.85;n/a;2011;Finance;Savings Institutions;http://www.nasdaq.com/symbol/bku
BWFG;Bankwell Financial Group, Inc.;19.78;148927397.98;n/a;2014;Finance;Major Banks;http://www.nasdaq.com/symbol/bwfg
BANR;Banner Corporation;41.06;1405986990.3;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/banr
BHB;Bar Harbor Bankshares, Inc.;32.26;193873663.98;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bhb
BCS;Barclays PLC;avg.75;36760071136.25;n/a;n/a;Finance;Commercial Banks;http://www.nasdaq.com/symbol/bcs
BHAC;Barington/Hilco Acquisition Corp.;9.sep;56047226.4;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/bhac
BHACR;Barington/Hilco Acquisition Corp.;0.2;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/bhacr
BHACU;Barington/Hilco Acquisition Corp.;okt.15;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/bhacu
BHACW;Barington/Hilco Acquisition Corp.;0.07;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/bhacw
BYBK;Bay Bancorp, Inc.;apr.96;54872142.72;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bybk
BYLK;Baylake Corp;16.52;158928148.96;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bylk
BBT;BB&T Corporation;32.62;25458325646.6;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bbt
BBCN;BBCN Bancorp, Inc.;14.71;1170421096.76;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bbcn
BFR;BBVA Banco Frances S.A.;18.72;3350117777.76;n/a;n/a;Finance;Commercial Banks;http://www.nasdaq.com/symbol/bfr
BBX;BBX Capital Corporation;15.41;252634467.9;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/bbx
BCBP;BCB Bancorp, Inc. (NJ);10.apr;112667845.88;n/a;2005;Finance;Savings Institutions;http://www.nasdaq.com/symbol/bcbp
BSF;Bear State Financial, Inc.;9.avg;341045081.48;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bsf
BNCL;Beneficial Bancorp, Inc.;13.53;1084087380.42;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/bncl
BHLB;Berkshire Hills Bancorp, Inc.;26.32;817993226.4;n/a;n/a;Finance;Banks;http://www.nasdaq.com/symbol/bhlb
BGCA;BGC Partners, Inc.;26.feb;0;n/a;2012;Finance;Investment Bankers/Brokers/Service;http://www.nasdaq.com/symbol/bgca
BGCP;BGC Partners, Inc.;8.avg;2399741291.2;n/a;n/a;Finance;Investment Bankers/Brokers/Service;http://www.nasdaq.com/symbol/bgcp
HAWK;Blackhawk Network Holdings, Inc.;33.4;1863753400;n/a;2013;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/hawk
BLK;BlackRock, Inc.;332.96;55296967953.6;n/a;1999;Finance;Investment Bankers/Brokers/Service;http://www.nasdaq.com/symbol/blk
BCRH;Blue Capital Reinsurance Holdings Ltd.;17.56;153691002.6;n/a;2013;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/bcrh
BHBK;Blue Hills Bancorp, Inc.;13.53;378707297.76;n/a;2014;Finance;Major Banks;http://www.nasdaq.com/symbol/bhbk
BNCN;BNC Bancorp;20.78;847649614.24;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bncn
BOFI;BofI Holding, Inc.;21.avg;1374103224.4;n/a;2005;Finance;Savings Institutions;http://www.nasdaq.com/symbol/bofi
BOFIL;BofI Holding, Inc.;25.45;0;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/bofil
BOKF;BOK Financial Corporation;52.16;3448789729.6;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bokf
BPFH;Boston Private Financial Holdings, Inc.;nov.48;958427809.64;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bpfh
BPFHP;Boston Private Financial Holdings, Inc.;25.33;0;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bpfhp
BPFHW;Boston Private Financial Holdings, Inc.;apr.75;0;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bpfhw
BLVD;Boulevard Acquisition Corp. II;sep.75;450937500;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/blvd
BLVDU;Boulevard Acquisition Corp. II;sep.82;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/blvdu
BLVDW;Boulevard Acquisition Corp. II;0.28;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/blvdw
BDGE;Bridge Bancorp, Inc.;29.65;517339930.55;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bdge
BYFC;Broadway Financial Corporation;jan.94;56408813.52;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/byfc
BPY;Brookfield Property Partners L.P.;22.81;5962181950.46;n/a;n/a;Finance;Real Estate;http://www.nasdaq.com/symbol/bpy
BRKL;Brookline Bancorp, Inc.;okt.56;743390799.36;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/brkl
BRO;Brown & Brown, Inc.;34.74;4815548257.32;n/a;n/a;Finance;Specialty Insurers;http://www.nasdaq.com/symbol/bro
BMTC;Bryn Mawr Bank Corporation;25.43;426933029.94;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/bmtc
BLMT;BSB Bancorp, Inc.;22.mar;200276712.7;n/a;2011;Finance;Major Banks;http://www.nasdaq.com/symbol/blmt
CFFI;C&F Financial Corporation;39.2;135285001.6;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/cffi
BNK;C1 Financial, Inc.;24.56;395439724.96;n/a;2014;Finance;Major Banks;http://www.nasdaq.com/symbol/bnk
GYB;CABCO Series 2004-101 Trust;19.75;0;n/a;n/a;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/gyb
PFH;CABCO Series 2004-101 Trust;18.91;0;n/a;n/a;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/pfh
CLMS;Calamos Asset Management, Inc.;avg.45;173473691.95;n/a;2004;Finance;Investment Bankers/Brokers/Service;http://www.nasdaq.com/symbol/clms
CFNB;California First National Bancorp;13.75;143823955;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/cfnb
CAC;Camden National Corporation;41.97;430761025.62;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/cac
CM;Canadian Imperial Bank of Commerce;74.63;29440906764.66;n/a;n/a;Finance;Commercial Banks;http://www.nasdaq.com/symbol/cm
CBNJ;Cape Bancorp, Inc.;13.54;183343447.5;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/cbnj
CBF;Capital Bank Financial Corp.;30.nov;1299119797.12;n/a;2012;Finance;Major Banks;http://www.nasdaq.com/symbol/cbf
CCBG;Capital City Bank Group;14.25;245408526.75;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/ccbg
COF;Capital One Financial Corporation;67.2;35439934051.2;n/a;1994;Finance;Major Banks;http://www.nasdaq.com/symbol/cof
COF^C;Capital One Financial Corporation;26.16;0;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/cof^c
CLAC;Capitol Acquisition Corp. III;sep.75;396093750;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/clac
CLACU;Capitol Acquisition Corp. III;sep.85;246250000;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/clacu
CLACW;Capitol Acquisition Corp. III;0.35;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/clacw
CFFN;Capitol Federal Financial, Inc.;dec.93;1773345465.84;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/cffn
CFNL;Cardinal Financial Corporation;19.43;629680542.35;n/a;1998;Finance;Major Banks;http://www.nasdaq.com/symbol/cfnl
CLBH;Carolina Bank Holdings Inc.;16.jan;80644099.08;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/clbh
CARO;Carolina Financial Corporation;18.39;221555639.85;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/caro
CARV;Carver Bancorp, Inc.;5.maj;20328478.5;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/carv
CACB;Cascade Bancorp;maj.62;409081896.26;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/cacb
CATY;Cathay General Bancorp;29.13;2318618750.19;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/caty
CATYW;Cathay General Bancorp;9;0;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/catyw
CBFV;CB Financial Services, Inc.;197.209;804.813.281.553;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/cbfv
CNLM;CB Pharma Acquisition Corp.;10.jan;55913600;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/cnlm
CNLMR;CB Pharma Acquisition Corp.;0.1084;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/cnlmr
CNLMU;CB Pharma Acquisition Corp.;104.999;0;n/a;2014;Finance;Business Services;http://www.nasdaq.com/symbol/cnlmu
CNLMW;CB Pharma Acquisition Corp.;0.04;0;n/a;2015;Finance;Business Services;http://www.nasdaq.com/symbol/cnlmw
CBOE;CBOE Holdings, Inc.;64.14;5246354711.1;n/a;2010;Finance;Investment Bankers/Brokers/Service;http://www.nasdaq.com/symbol/cboe
CBG;CBRE Group, Inc.;28.39;9489098270.91;n/a;2004;Finance;Real Estate;http://www.nasdaq.com/symbol/cbg
CSFL;CenterState Banks, Inc.;14.91;680668740.57;n/a;n/a;Finance;Major Banks;http://www.nasdaq.com/symbol/csfl
CFBK;Central Federal Corporation;jan.32;21151957.2;n/a;n/a;Finance;Savings Institutions;http://www.nasdaq.com/symbol/cfbk
